"YR","Fall","Spring","Summer","Winter"
1993,0.384339944,0.228043320333333,0.418069481333333,0.350854034333333
1994,0.017087455,0.266384554333333,0.0675531773333333,0.256018829333333
1995,-0.0482198973333333,0.0893233313333333,0.047353627,0.050407803
1996,0.021406885,0.17449014,0.278428932666667,0.0409753846666667
1997,0.545805806666667,0.0400860013333333,0.299653949666667,0.233624917
1998,0.384218972666667,0.322233703666667,0.305777955333333,0.408921083666667
1999,-0.0386963703333333,0.0515522516666667,0.0991195413333333,-0.069171135
2000,-0.246960088333333,-0.103864438333333,-0.230596242,-0.141265247333333
2001,-0.267434063,-0.0907715366666667,-0.119046738666667,0.00854360366666667
2002,0.01817456,-0.189034446,-0.075596312,0.0326923923333333
2003,0.0139952536666667,0.0553721843333333,0.0172922743333333,0.0632355783333333
2004,-0.0258173996666667,-0.177636292333333,0.094842473,0.0331552316666667
2005,0.241509362,-0.0729691906666667,-0.122500380333333,-0.219829235333333
2006,0.117096492,0.130806506,0.178056448666667,-0.026311717
2007,0.297995804333333,-0.0263104196666667,0.00537460066666667,-0.067020113
2008,0.00941256366666669,0.0320170746666667,-0.231373395,0.261734297333333
2009,-0.153682979666667,-0.0193877726666667,-0.0629375686666667,0.263036698666667
2010,0.104959496333333,0.093161359,-0.031587624,0.120627638333333
2011,0.175636589,0.0410995713333333,-0.100884198,0.119562881333333
2012,0.245854640666667,0.135170467,0.201632795,0.211496939333333
2013,0.128662342,0.151015888333333,0.0805006563333333,0.163894409
2014,-0.167159364666667,-0.112619286666667,-0.0767223793333333,-0.139878362
2015,-0.228404782333333,-0.0978648536666667,0.0128779536666667,-0.381499094
2016,-0.432888759,-0.138123219333333,-0.152517333666667,-0.219202705333333
2017,-0.151405354666667,-0.185284672333333,-0.290668792666667,-0.291474629666667
2018,-0.092083492,-0.0555018916666667,-0.129521566666667,-0.318054367
2019,-0.402533151666667,-0.275991522,-0.232690554333333,-0.382250428
2020,-0.413029663333333,-0.265400767666667,-0.249895801,-0.353934844
