"YR","Fall","Spring","Summer","Winter"
1993,0.0616427046666667,-0.0491335843333333,0.416731232666667,0.110789432666667
1994,0.0428578233333333,0.0205232703333333,-0.00192015133333333,-0.117478942666667
1995,-0.177365656,-0.0306844483333333,0.0605302876666667,0.0890115083333333
1996,-0.121489449666667,-0.170092025,0.048667166,-0.201886549333333
1997,0.254983067333333,-0.0109914096666667,0.198216238666667,-0.187275555666667
1998,-0.064583378,0.317407235333333,0.207404895333333,0.270568990333333
1999,-0.106795713666667,0.040143473,-0.0770118773333333,-0.0993329983333333
2000,0.107999501333333,-0.216080776,-0.191064343,-0.192168651666667
2001,-0.0645250453333333,-0.057326013,-0.112845485666667,-0.031463147
2002,-0.00177614,-0.086883016,0.145045445666667,0.0213389403333333
2003,-0.014850926,0.195717943333333,-0.0272585836666667,0.0240082903333333
2004,0.000231501999999999,-0.0897126526666667,0.039108208,0.142056981333333
2005,0.0276728946666667,-0.0283835403333333,-0.0446008786666667,0.134759737666667
2006,-0.0409082803333333,0.164264345,-0.196549023,-0.103396235
2007,0.106165552666667,0.090475236,-0.0792434123333333,-0.114811353333333
2008,-0.125283799333333,-0.130944590333333,-0.229563366333333,-0.0435295243333333
2009,0.0322202176666667,-0.020196634,-0.092839074,-0.0741042346666667
2010,-0.00191727000000001,0.0875223123333333,-0.225007994,0.256750958333333
2011,-0.0679833956666667,-0.183547371666667,-0.0356733766666667,0.012328087
2012,-0.0637776253333333,-0.0205769803333333,-0.0477150713333333,-0.311060079
2013,0.0636111533333333,0.059426516,-0.065184182,0.143436445666667
2014,0.0432417466666667,0.087698627,0.180914174333333,0.041065236
2015,0.00544362833333334,-0.00416383333333333,0.163792006,0.352848940333333
2016,-0.126219417333333,0.0248256413333333,0.0961242756666667,-0.153790515333333
2017,0.0219676683333333,0.0748798556666667,-0.0319320896666667,-0.123313105666667
2018,0.036457409,-0.024002955,-0.033813519,-0.029219554
2019,0.183960728,0.0432751716666667,0.199869855333333,-0.00851706
2020,-0.00308896900000002,-0.039594058,0.172357732666667,0.199251733
